Rank,Player,Player ID,First Season,Last Season,Seasons,Team Stints,On MP,Off MP,Career On TRB%,Career Off TRB%,Career TRB% Swing,Coverage
1,Steven Adams,adamsst01,2013-14,2025-26,12,12,20434,26052,54.6,51.1,3.5,Basketball-Reference regular-season on/off pages; minutes-weighted across team-season stints
2,Nikola Jokic,jokicni01,2015-16,2025-26,11,11,25868,16755,52.8,49.7,3.1,Basketball-Reference regular-season on/off pages; minutes-weighted across team-season stints
3,Rudy Gobert,goberru01,2013-14,2025-26,13,13,27747,22604,52.6,49.6,3.0,Basketball-Reference regular-season on/off pages; minutes-weighted across team-season stints
4,Clint Capela,capelca01,2014-15,2025-26,12,12,18311,28223,51.8,49.3,2.5,Basketball-Reference regular-season on/off pages; minutes-weighted across team-season stints
5,Jonas Valanciunas,valanjo01,2012-13,2025-26,14,16,24411,38095,51.9,49.4,2.4,Basketball-Reference regular-season on/off pages; minutes-weighted across team-season stints
6,Ivica Zubac,zubaciv01,2016-17,2025-26,10,12,14856,31596,51.6,49.2,2.4,Basketball-Reference regular-season on/off pages; minutes-weighted across team-season stints
7,Kevin Love,loveke01,2008-09,2025-26,18,19,28073,45063,51.5,49.1,2.3,Basketball-Reference regular-season on/off pages; minutes-weighted across team-season stints
8,Jusuf Nurkic,nurkiju01,2014-15,2025-26,12,14,15413,39038,51.9,49.6,2.3,Basketball-Reference regular-season on/off pages; minutes-weighted across team-season stints
9,Andre Drummond,drumman01,2012-13,2025-26,14,17,25408,39436,51.4,49.3,2.1,Basketball-Reference regular-season on/off pages; minutes-weighted across team-season stints
10,DeAndre Jordan,jordade01,2008-09,2025-26,18,20,27990,49356,51.3,49.2,2.1,Basketball-Reference regular-season on/off pages; minutes-weighted across team-season stints
11,Karl-Anthony Towns,townska01,2015-16,2025-26,11,11,24242,17944,50.9,49.0,1.9,Basketball-Reference regular-season on/off pages; minutes-weighted across team-season stints
12,Giannis Antetokounmpo,antetgi01,2013-14,2025-26,13,13,29244,21265,50.9,49.3,1.6,Basketball-Reference regular-season on/off pages; minutes-weighted across team-season stints
13,Joel Embiid,embiijo01,2016-17,2025-26,10,10,15569,23072,50.9,49.5,1.5,Basketball-Reference regular-season on/off pages; minutes-weighted across team-season stints
14,Domantas Sabonis,sabondo01,2016-17,2025-26,10,11,20405,22190,50.7,49.3,1.4,Basketball-Reference regular-season on/off pages; minutes-weighted across team-season stints
15,Taj Gibson,gibsota01,2009-10,2025-26,17,19,23112,50042,52.0,50.6,1.4,Basketball-Reference regular-season on/off pages; minutes-weighted across team-season stints
16,Anthony Davis,davisan02,2012-13,2025-26,14,15,27660,30707,50.4,49.4,1.0,Basketball-Reference regular-season on/off pages; minutes-weighted across team-season stints
17,Brook Lopez,lopezbr01,2008-09,2025-26,18,18,35134,34446,50.5,49.5,1.0,Basketball-Reference regular-season on/off pages; minutes-weighted across team-season stints
18,Jarrett Allen,allenja01,2017-18,2025-26,9,10,17536,20674,50.8,49.8,1.0,Basketball-Reference regular-season on/off pages; minutes-weighted across team-season stints
19,Tobias Harris,harrito02,2011-12,2025-26,15,19,32429,41028,50.7,50.1,0.6,Basketball-Reference regular-season on/off pages; minutes-weighted across team-season stints
20,Bobby Portis,portibo01,2015-16,2025-26,11,12,16508,29778,50.4,49.9,0.5,Basketball-Reference regular-season on/off pages; minutes-weighted across team-season stints
21,Julius Randle,randlju01,2014-15,2025-26,12,12,25330,20921,50.9,50.5,0.4,Basketball-Reference regular-season on/off pages; minutes-weighted across team-season stints
22,Nikola Vucevic,vucevni01,2011-12,2025-26,15,17,32274,32827,49.9,49.6,0.3,Basketball-Reference regular-season on/off pages; minutes-weighted across team-season stints
23,Draymond Green,greendr01,2012-13,2025-26,14,14,27093,26950,50.6,50.3,0.3,Basketball-Reference regular-season on/off pages; minutes-weighted across team-season stints
24,Bam Adebayo,adebaba01,2017-18,2025-26,9,9,19717,15045,50.2,50.0,0.2,Basketball-Reference regular-season on/off pages; minutes-weighted across team-season stints
25,Bismack Biyombo,biyombi01,2011-12,2025-26,15,16,17011,44170,49.3,49.2,0.0,Basketball-Reference regular-season on/off pages; minutes-weighted across team-season stints
26,Al Horford,horfoal01,2007-08,2025-26,19,19,36855,36711,49.6,49.7,-0.1,Basketball-Reference regular-season on/off pages; minutes-weighted across team-season stints
27,Mason Plumlee,plumlma01,2013-14,2025-26,13,16,18925,43481,49.4,50.9,-1.5,Basketball-Reference regular-season on/off pages; minutes-weighted across team-season stints
